name,unixtime,commitguid,commitreason
Matthew Gregan,1455258653,022390632f363bed8ed9d26853d11cc96bf3ade1,Track state of moov parse in read_mp4.
Matthew Gregan,1455252397,3d2c8bb74c4ba6ca3df4df04df207c3ce8c241c0,Work around the double-namespacing of enum members to satisfy rusty-cheddar.
Matthew Gregan,1454567185,6fdc4a7285774896723f01e9c006baaa983ab860,Convert everything over to BMFFBox and fix tests.
Matthew Gregan,1454564383,2f37ce902c77ea39cce0d69d5be06776983043d9,Simplify lifetimes on Input.
Matthew Gregan,1454559430,adfb8942b6987f9587effea1b538e4d99c67d16e,Invert Option/Result hierarchy for Input.next().
Matthew Gregan,1454559399,396255d33a6117c0186ebe2d43d4d183c21801ff,Experiment with BMFFBox trait.
Matthew Gregan,1454556818,05953b7c92ddc1f247c84285a7a6028388d4c234,Move tracing to a global variable.
Matthew Gregan,1454555571,e688b6534e09915e384bd829f3fb7f03c998fa3b,Remove unnecessary BoxHeader passing and copying.
Matthew Gregan,1454482978,f33eb07f95252621e726993a763a8472b2bb7fa7,Detect non-BMFF audio SampleEntry and fail with a clearer error.
Matthew Gregan,1454478751,af6a38dee513bacf0ca255d83254c07bf13ff5b3,Include the file offset when reporting errors from dump.rs.
Matthew Gregan,1454477577,3f5387549cc1c95c6b2d68f012cd8d00e4266a40,Require Read rather than BufRead everywhere and remove the single use of BufRead in skip().
Matthew Gregan,1454476815,56973bb3ba5fa6b0cbc80da69c6fb463411d1c52,Make Unsupported/InvalidData errors slightly richer to ease debugging.
Matthew Gregan,1454475021,0052b55b93c18329365745d9e9377e770630caf6,Skip box content of unknown SampleEntries.
Matthew Gregan,1454473871,048259279dfcb57d8bc587df2278f4697280efbd,capi: Simplify media_time computation.
Matthew Gregan,1454473851,8c2b220a76aa655ca9d1a3ea186108f38d05d409,Rework read_null_terminated_string based on observed MP4s.
Matthew Gregan,1454469912,44e129ec072c720de2d5f07c8a743e99356e0cc0,Make examples/dump.rs quiet by default.  Use -v for verbose mode.
Matthew Gregan,1454372223,ca034350526d294d37688ad9e3002b3c82cff368,Pass the correct header to read_audio_desc in the read_opus test.
Matthew Gregan,1454295273,6c349b0e6e4f27621a3c401e2c2488651074d798,Very hacky encv/enca support (just accept the FourCCs in SampleEntry descriptions).
Matthew Gregan,1454295124,53982090c6a84fa9ab2048c979995710e58feb0a,Fix a parser desync bug in read_stsd when reading multiple descriptions.
Matthew Gregan,1454293214,dc56ac8ee37a590ca6cbd4e80ad00cbee07c66ef,Temporarily disable string read in read_hdlr due to discovery of files that violate the spec.
Matthew Gregan,1454291965,21311727acdd8590a9d2c8469a4aab7b3ef31b60,Make dump.rs print a nicer error on file open errors.
Matthew Gregan,1454291027,20f3ba5670a5857eb98a1a2fc7108b058113f053,Treat mismatched SampleEntry subboxes as an error.
Matthew Gregan,1454290273,e508f6f03c136adde866813dd5c139ed4040e8ad,Treat multiple avcC/vpcC/esds/dOps as an error.
