commit,type,number_of_lines
232,deletion,5
233,insertion,111
233,deletion,95
234,insertion,17
234,deletion,3
235,insertion,11
235,deletion,3
236,deletion,3
237,insertion,2
237,deletion,2
238,insertion,36
238,deletion,61
239,insertion,22
239,deletion,20
240,insertion,2
242,insertion,10
242,deletion,4
244,deletion,2
245,insertion,67
245,deletion,28
246,insertion,147
246,deletion,82
247,insertion,300
247,deletion,23
248,insertion,3
250,insertion,18
250,deletion,3
251,insertion,6
251,deletion,6
252,insertion,2
252,deletion,5
253,insertion,6
254,insertion,36
254,deletion,23
256,insertion,2
256,deletion,5
257,insertion,10
258,insertion,12
258,deletion,9
259,insertion,5
259,deletion,2
260,insertion,9
261,insertion,8
264,insertion,4
264,deletion,4
265,insertion,6
265,deletion,6
266,insertion,7
267,insertion,3
268,deletion,4
270,insertion,49
270,deletion,55
272,insertion,18
272,deletion,4
273,insertion,44
273,deletion,44
274,insertion,33
274,deletion,8
275,insertion,17
276,insertion,2
276,deletion,2
277,insertion,59
277,deletion,30
279,insertion,7
279,deletion,7
280,insertion,5
280,deletion,6
281,deletion,5
283,insertion,21
283,deletion,16
284,insertion,7
284,deletion,8
285,insertion,11
285,deletion,12
287,insertion,39
288,insertion,3
289,insertion,34
289,deletion,8
290,insertion,0
290,deletion,0
291,insertion,3
291,deletion,3
292,insertion,2
292,deletion,2
293,insertion,66
293,deletion,46
294,insertion,5
294,deletion,3
295,insertion,14
295,deletion,10
296,insertion,2
296,deletion,37
299,insertion,61
300,insertion,42
300,deletion,31
301,insertion,47
301,deletion,164
302,insertion,10
302,deletion,2
303,insertion,6
305,insertion,6
305,deletion,5
306,deletion,2
310,insertion,8
310,deletion,9
311,insertion,6
311,deletion,3
312,insertion,25
312,deletion,14
313,insertion,4
313,deletion,3
314,deletion,52
315,insertion,2
315,deletion,2
316,insertion,3
316,deletion,8
317,insertion,12
317,deletion,35
318,insertion,81
318,deletion,57
320,insertion,3
320,deletion,4
321,insertion,14
321,deletion,7
322,insertion,5
322,deletion,19
323,insertion,7
323,deletion,4
324,insertion,7
325,insertion,5
326,insertion,3
326,deletion,2
328,insertion,21
328,deletion,21
329,insertion,4
329,deletion,4
330,insertion,11
330,deletion,21
331,insertion,34
331,deletion,3
332,insertion,2
332,deletion,2
333,insertion,20
333,deletion,23
334,insertion,22
334,deletion,38
335,insertion,192
336,insertion,33
336,deletion,11
339,insertion,47
340,insertion,4
341,insertion,50
342,insertion,98
343,insertion,39
344,insertion,62
345,insertion,109
346,insertion,126
348,insertion,13
348,deletion,3
349,insertion,3
349,deletion,3
350,insertion,11
350,deletion,9
351,insertion,14
351,deletion,23
352,insertion,8
352,deletion,52
353,insertion,52
353,deletion,8
354,insertion,2
354,deletion,2
357,insertion,11
357,deletion,7
358,insertion,8
358,deletion,2
359,insertion,2
360,insertion,8
360,deletion,6
361,insertion,25
362,insertion,55
365,insertion,5
366,insertion,12
366,deletion,4
367,insertion,6
367,deletion,7
368,deletion,2
369,insertion,3
371,insertion,3
371,deletion,2
372,insertion,18
372,deletion,10
373,insertion,6
373,deletion,6
374,insertion,2
374,deletion,2
375,insertion,7
375,deletion,7
376,insertion,6
376,deletion,6
377,insertion,11
377,deletion,11
378,insertion,10
378,deletion,11
380,insertion,5
380,deletion,4
382,insertion,7
383,insertion,2
384,insertion,6
384,deletion,11
385,insertion,3
385,deletion,4
387,insertion,2
388,insertion,3
388,deletion,8
389,insertion,14
